id,name,menu,gram,calorie,carbohydrate,protein,fat,saturatedfat,unsaturatedfat,cholesterol,sodium,potash,ingredient
165,새우콤보도시락,168,400,712,81,36.32,30,NULL,NULL,NULL,831.3,NULL,"새우, 돼지고기, 밀가루, 쌀, 김치, 양배추"
166,칠리콤보도시락,169,400,741,104.3,27.32,19.3,6.4,9.12,249,782,720,"돼지고기, 닭고기, 밀가루, 쌀, 김치, 양배추, 칠리소스"
167,콤보도시락,170,400,720,102.95,26.84,21.7,4.93,8.12,247,732,810,"돼지고기, 닭고기, 밀가루, 쌀, 김치, 양배추"
168,소불고기도시락,171,400,792,118,39,17,NULL,NULL,NULL,NULL,NULL,"소고기, 밀가루, 쌀, 김치, 양배추, 양파, 당근"
169,제육볶음도시락,172,415,771,93,35,29,8,NULL,202,1616,NULL,"양파, 당근, 마늘, 돼지고기, 고추장, 밀가루, 쌀, 김치, 양배추"
170,떡닭갈비도시락,173,418,675,96,30,19,4.7,NULL,161,1905,NULL,"떡, 돼지고기, 양파, 김치, 양배추, 밀가루, 쌀"
171,치킨커리,174,200,211,11,20,11,3.1,NULL,110,640,NULL,"닭고기, 감자, 양파, 우유, 카레"
172,돈까스커리,175,200,231,17,23,15,4.1,NULL,149,730,NULL,"돼지고기, 밀가루, 감자, 양파, 우유, 카레"
173,짝3호(제육+간장치킨),176,415,791,98,39,41,8,NULL,219,1502,NULL,"돼지고기, 닭고기, 마늘, 고추장, 당근, 양파, 밀가루, 쌀, 양배추, 김치"
174,짝4호(소불+간장치킨),177,400,801,120,33.1,19.1,NULL,NULL,NULL,NULL,NULL,"소고기, 닭고기, 마늘, 김치, 양배추, 양파, 당근, 밀가루, 쌀"
175,짝2호(소불+돈까스),178,400,810,118,39,10.2,NULL,NULL,NULL,NULL,NULL,"소고기, 돼지고기, 밀가루, 당근, 양파, 김치, 양배추, 쌀"
176,짝1호(제육+돈까스),179,415,781,98,33.31,30,9,NULL,200.12,1603,NULL,"돼지고기, 마늘, 고추장, 당근, 양파, 밀가루, 쌀, 김치, 양배추"
177,짝5호(소불+제육),180,415,831,120.1,38.21,35.2,11,NULL,201.92,1600,NULL,"소고기, 돼지고기, 고추장, 당근, 양파, 밀가루, 쌀, 김치, 양배추"
178,만찬도시락,181,400,793,99.2,39.3,38.2,13,NULL,243.1,1702,NULL,"돼지고기, 소고기, 당근, 양파, 밀가루, 쌀, 김치, 양배추"
179,코다리소불도시락,182,400,845,131,41.2,39.91,12,NULL,209,1654,NULL,"생선, 소고기, 당근, 양파, 밀가루, 쌀, 김치, 양배추"
180,인기스타,183,475,839,141,41,20.98,5.3,NULL,182,1808,NULL,"새우, 닭고기, 소고기, 돼지고기, 밀가루, 김치, 양배추, 당근, 양파, 메추리알, 쌀, 어묵"
181,진수성찬,184,497,824,122,35,22,7,NULL,149,1870,NULL,"새우, 돼지고기, 고추장, 닭고기, 밀가루, 김치, 양배추, 메추리알, 어묵, 쌀"
182,한상차림,185,475,839,130,37,19,4.3,NULL,177,1775,NULL,"소고기, 돼지고기, 생선, 당근, 양파, 김치, 양배추, 메추리알, 쌀, 밀가루"
183,코다리제육도시락,186,400,750,83,41,28,8,NULL,198,1771,NULL,"생선, 돼지고기, 고추장, 양파, 밀가루, 쌀, 김치, 양배추"
184,새우감자고로케,188,100,210,19.31,4.07,12.91,1.418,6.89,32,220,133,"새우, 감자, 햄, 양파, 달걀, 밀가루 케이준감자 - 밀가루, 감자"
185,케이준감자,187,100,313,60,4,4,1.1,2.8,NULL,410,NULL,"밀가루, 감자"
186,국물떡볶이,189,200,280,60.42,6.97,2.91,0.544,0.768,7,249,571,"떡, 고추장, 간장, 고춧가루"
187,베트남쌀국수,190,624,589,112.94,25.08,4.12,0.69,NULL,27,2539,NULL,"쌀, 소고기, 숙주, 양파, 고추, 대파, 레몬"
188,분짜,192,500,765,91.49,35.59,26.45,9.642,11.548,116,1009,569,"쌀, 돼지고기, 양상추, 고수, 어린잎, 레몬"
189,반쎄오,193,100,140,23.49,5.88,2.47,1.54,0.418,24,117,199,"쌀, 밀가루, 강황가루, 코코넛밀크"
190,매운쌀국수,191,300,350,74,7,3.1,1.8,NULL,0,1080,NULL,"쌀, 소고기, 숙주, 양파, 고추, 대파, 레몬"
191,파인애플볶음밥,194,250,271,53,12,1.4,NULL,NULL,15,714,NULL,"파인애플, 달걀, 양파, 쌀, 대파, 굴소스"
192,넴,196,50,95,12,3.5,3.3,0.5,2.8,NULL,300,NULL,"쌀, 상추, 박하, 깻잎, 청경채, 돼지고기, 새우, 레몬"
193,하가우,197,50,47,5,2.6,0.6,0.1,0.5,NULL,104,NULL,"새우, 쌀, 대파, 참기름, 간장"
194,꿔이,198,200,350,50,20,4,1.5,2.6,NULL,1500,NULL,"쌀, 미역, 소고기, 양파, 마늘, 생각, 숙주, 당근, 오이, 레몬"
195,반미,195,100,210,36,9,3.5,1.3,NULL,15,530,NULL,"밀가루, 오이, 고수, 고추, 돼지고기, 굴소스"
196,등심돈까스,202,200,491,24.56,51.77,18.98,5.307,8.254,185,883,640,"돼지고기, 밀가루, 양배추, 쌀"
197,치즈돈까스,203,250,721,25.41,57.87,41.57,17.171,16.385,217,1237,622,"돼지고기, 밀가루, 양배추, 쌀, 치즈"
198,고구마치즈돈까스,209,250,688,27.04,54.36,38.87,16.055,15.318,203,1165,636,"돼지고기, 밀가루, 양배추, 쌀, 고구마, 치즈"
199,치킨까스,212,200,569,25.05,39.54,33.22,8.5,13.364,163,564,354,"닭고기, 밀가루, 양배추, 쌀"
200,카레돈까스,204,300,551,53.12,32.55,23.91,5.311,11.873,78,614,861,"돼지고기, 밀가루, 양배추, 쌀, 카레"
201,쫄면,214,200,211,43.29,4.55,1.54,0.248,0.433,0,501,337,"밀가루, 오이, 양배추, 당근, 콩나물, 상추, 달걀, 고추장, 고춧가루"
202,우동,215,200,361,73.62,11.82,1.42,0.292,0.288,14,1537,177,"밀가루, 가쓰오부시, 간장, 다시마, 대파, 어묵, 유부"
203,냉모밀,223,250,281,51.39,7.98,4.72,0.73,1.179,13,452,151,"메밀, 무, 김, 파, 고추냉이, 멸치"
204,로제돈가스,205,150,550,47,28,27,3,24,NULL,1000,NULL,"돼지고기, 밀가루, 양배추, 쌀, 우유, 토마토"
205,마늘돈가스,206,150,510,29,36,27,5,17,NULL,940,NULL,"돼지고기, 밀가루, 양배추, 쌀, 마늘"
206,로제치즈돈가스,207,180,630,50,40,51,5,29,NULL,1203,NULL,"돼지고기, 밀가루, 양배추, 쌀, 우유, 토마토, 치즈"
207,옛날돈가스,208,150,500,22,28,29,7,18,NULL,780,NULL,"돼지고기, 밀가루, 양배추, 쌀, 데미그라스소스"
208,매운칠리돈가스,210,150,543,32,29,29,6,14,NULL,820,NULL,"돼지고기, 밀가르, 양배추, 쌀, 칠리소스"
209,생크림데미그라스볼카츠,211,100,300,20,24,10,NULL,NULL,NULL,500,NULL,"돼지고기, 밀가루, 양배추, 쌀, 데미그라스소스, 우유"
210,생크림데미그라스점보돈가스,213,100,304,37,24.1,17.1,12.3,11.4,NULL,520,302,"돼지고기, 밀가루, 양배추, 쌀, 데미그라스소스, 우유"
211,파우동,216,200,361,73.62,11.82,1.42,0.292,0.288,14,1537,177,"밀가루, 가쓰오부시, 간장, 다시마, 대파, 어묵, 유부"
212,얼큰파우동,217,200,389,77,13.834,1.92,0.292,0.312,17,1603,179,"밀가루, 가쓰오부시, 간장, 다시마, 대파, 어묵, 유부, 고추"
213,로제우동,218,200,403.1,73.1,12.931,2.01,0.5,0.52,11,1605,201,"밀가루, 토마토, 우유, 대파"
214,카레라이스,219,400,544,71.72,34.54,14.91,3.7,7.23,43,600,1194,"쌀, 돼지고기 , 감자, 양파, 우유, 카레"
215,데리장조림덮밥,220,260,370,62,16,5.7,3.7,NULL,95,490,NULL,"쌀, 양파, 고추, 참기름, 장조림, 버터, 데리야끼소스"
216,고추장장조림비빔밥,221,260,380,67,16,4.2,4.4,NULL,102,473.33,NULL,"쌀, 양파, 고추장, 장조림, 참기름, 버터"
217,불냉면,222,400,463,75.92,17.37,9.34,2.117,3.419,189,1583,312,"밀가루, 오이, 쌈무, 참기름, 달걀, 마늘"
218,참치주먹밥,,100,202,32,4,6,0.78,NULL,0,312,NULL,"쌀, 참치, 마요네즈"
219,닭갈비주먹밥,224,300,605,100,29,10,3,3,69,841,578,"쌀, 닭고기, 마요네즈, 고추장"
220,참치김치주먹밥,228,300,549,64,12,13,NULL,NULL,NULL,NULL,NULL,"쌀, 참치, 김치, 마요네즈"
221,떡갈비주먹밥,231,300,558,104,20,19,1,NULL,30,840,501,"쌀, 돼지고기, 떡, 마요네즈"
222,어묵우동,235,200,361,73.62,11.82,1.42,0.292,0.288,14,1537,177,"밀가루, 가쓰오부시, 간장, 다시마, 대파, 어묵, 유부"
223,김치우동,236,300,481,82.27,12.02,10.84,2.682,6.088,15,809,357,"밀가루, 가쓰오부시, 간장, 다시마, 대파, 김치, 유부"
224,김치볶음주먹밥,225,100,192,37.21,3.6,2.94,0.45,1.097,NULL,258,81,"쌀, 김치, 참기름,마요네즈"
225,구운스팸주먹밥,226,110,197,31,6,6,2,NULL,12,502,NULL,"쌀, 햄, 마요네즈"
226,치즈날치알주먹밥,227,105,181,28,4,6,1.6,NULL,19,368,NULL,"쌀, 치즈, 날치알, 마요네즈"
227,양념갈비주먹밥,229,300,584,101,21,23,1.23,NULL,39.2,853,NULL,"쌀, 간장, 돼지고기, 마요네즈"
228,제육김치주먹밥,230,100,204,33.31,9.3,5.12,0.81,2.3,NULL,302,83,"쌀, 김치, 돼지고기, 마요네즈"
229,담백라면,233,120,500,77,12,16,8,NULL,9,1780,NULL,"밀가루, 고춧가루, 대파, 달걀"
230,얼큰라면,234,120,500,77,12,16,8,NULL,12,1880,NULL,"밀가루, 고춧가루, 대파, 달걀"
231,어묵,237,50,139,9.36,9.36,6.86,0.696,3.741,44,175,201,"어묵, 간장"
232,순대국밥,238,300,328,33.78,23.25,10.35,3.615,3.145,140,1120,485,"돼지고기, 순대, 사골, 마늘, 대파, 쌀"
233,수육국밥,239,350,498,66.05,29.35,11.68,3.566,5.129,73,832,636,"돼지고기, 사골, 마늘, 대파, 쌀"
234,얼큰국밥,240,300,360,37,22.54,9.21,4.51,2.31,104,1203,503,"돼지고기, 순대, 사골, 마늘, 대파, 쌀, 고춧가루"
235,치즈피자,241,100,237,26.08,10.6,10.1,4.304,2.823,21,462,138,"토마토, 밀가루, 치즈, 햄, 올리브, 버섯"
236,불고기피자,244,100,251,33.99,10.78,7.61,2.489,3.266,13,374,169,"소고기, 토마토, 밀가루, 치즈, 올리브, 버섯"
237,치즈오븐스파게티,243,400,550,96,24,8,5.2,NULL,10,1400,NULL,"토마토, 양파, 마늘, 파슬리, 치즈, 밀가루"
238,알밥,245,400,392,65.21,20.77,6.16,1.294,1.762,222,395,586,"쌀, 날치알, 단무지, 어린잎, 김, 참기름, 김치"
239,불닭도리아,242,260,498,80,22,10,8,NULL,NULL,798,NULL,"쌀, 닭고기, 양파, 치즈, 버터, 밀가루, 우유"
240,소고기쌀국수,246,624,589,112.94,25.08,4.12,0.69,NULL,27,2539,NULL,"쌀, 소고기, 숙주, 양파, 고추, 대파, 레몬"
241,제육덮밥,250,500,779,115.13,29.85,21.41,6.397,8.788,71,544,725,"돼지고기, 쌀, 김, 고추장, 숙주, 대파"
242,김치베이컨볶음밥,251,300,446,75.09,8.75,12.37,1.868,4.729,NULL,844,520,"돼지고기, 베이컨, 김치, 대파, 숙주, 쌀, 김"
243,짬뽕쌀국수,247,300,350,74,7,3.1,1.8,NULL,32,1080,NULL,"쌀, 소고기, 숙주, 양파, 고추, 대파, 레몬, 고춧가루"
244,매콤 비빔쌀국수,248,300,361,68.3,6.53,9.32,2.98,NULL,13,1321,NULL,"쌀, 소고기, 고추장, 양파, 대파"
245,매콤 물쌀국수,249,300,322,71.2,5.43,8.31,3.12,NULL,12,1230,NULL,"쌀, 소고기, 고춧가루, 양파, 대파"
246,돈까스,252,200,491,24.56,51.77,18.98,5.307,8.254,185,883,640,"돼지고기, 밀가루, 양배추, 쌀"
247,짜조,253,22,48,5,2,2,0.2,0.8,NULL,120,60,"닭고기, 양파, 치즈, 춘권피, 파프리카"
248,교자만두,254,100,215,28,8,8,1.3,1.433,5,290,73,"밀가루, 돼지고기, 부추, 당근"
249,갈비만두,255,100,160,13.32,8.02,7.9,2.5,3.4,12,230,100,"밀가루, 돼지고기, 간장, 부추, 당근"
250,튀김만두,256,50,95,10.73,4.91,3.43,1.163,1.433,12,74,NULL,"밀가루, 돼지고기, 부추, 당근"
251,소떡소떡,257,100,340,43.32,10.46,13.61,4.065,6.707,42,637,171,"밀가루, 떡, 소시지"
252,돈코츠라멘,258,400,499,83.47,14.48,10.74,4.232,4.4,21,1307,324,"돼지고기, 간장, 밀가루, 후추, 대파, 마늘"
253,고기덮밥,259,300,440,48.77,28.64,12.74,3.244,5.098,54,304,486,"돼지고기, 간장, 밀가루, 대파, 마늘"
254,육개장,261,200,165,10.45,14.32,7.57,2.083,3.289,20,720,429,"소고기, 고사리, 대파, 숙주"
255,육회비빔밥,262,400,531,72.96,27.52,13.07,3.934,5.322,210,361,689,"소고기, 고추장, 마늘, 깨, 새싹, 김, 간장, 쌀"
256,핵불덮밥,260,500,812,103.12,26.3,18.3,4.21,3.2,102,601.3,521,"돼지고기, 고추장, 마늘, 고추, 깨, 쌀, 김"
257,수제비프싱글버거,263,150,370,39,11,17,6,NULL,30,600,NULL,"소고기, 밀가루, 양상추"
258,불갈비버거,264,182,462,65,22,17,8.6,NULL,NULL,909,NULL,"돼지고기, 밀가루, 양상추, 칠리소스"
259,불갈비체다버거,265,190,502,65,20,31,10.1,NULL,42,951,NULL,"돼지고기, 밀가루, 양상추, 칠리소스, 치즈"
260,불갈비모짜버거,266,190,501,64,20,31,9,NULL,41,928,NULL,"돼지고기, 밀가루, 양상추, 칠리소스, 치즈"
261,수제비프버거,267,167,409,44,14,19,6,NULL,30,669,NULL,"소고기, 밀가루, 양상추"
262,수제비프체다버거,268,175,414,41,13,22,8,NULL,65,740,NULL,"소고기, 밀가루, 양상추, 치즈"
263,수제비프모짜버거,269,175,412,40,14,22,8,NULL,66,732,NULL,"소고기, 밀가루, 양상추, 치즈"
264,수제비프더블치즈버거,270,200,485,39,12,31,10,NULL,78,760,NULL,"소고기, 밀가루, 양상추, 치즈"
265,수제비프해쉬버거,271,250,40,74,29,5,NULL,NULL,NULL,810,NULL,"소고기, 밀가루, 양상추, 감자"
266,수제비프치즈베이컨버거,272,250,479,76.5,32,5,NULL,NULL,NULL,870,NULL,"소고기, 밀가루, 양상추, 베이컨, 치즈"
267,통살치킨버거,283,193,585,39,26,36,8,NULL,75,650,NULL,"닭고기, 밀가루, 양상추"
268,슈프림양념치킨버거,284,155,453,50,14,22,5,NULL,38,1001,NULL,"닭고기, 밀가루, 양상추, 고추장, 간장"
269,핫갈릭치킨버거,285,215.5,588,19.5,26.5,18,7.85,0,37.5,992.5,NULL,"닭고기, 밀가루, 양상추, 마늘, 핫소스"
270,핫바베큐치킨버거,286,200,484,20,19,20,8,NULL,NULL,880,NULL,"닭고기, 밀가루, 양상추, 핫소스"
271,핫스파이시치킨버거,287,160,376,45,13,16,4,NULL,35,1180,NULL,"닭고기, 밀가루, 양상추, 핫소스"
272,달콤강정치킨버거,288,232,662,13,28,8.2,NULL,NULL,NULL,1080,NULL,"닭고기, 밀가루, 양상추, 올리고당, 간장"
273,핫강정치킨버거,289,230,672,12,29,9,NULL,NULL,NULL,1201,NULL,"닭고기, 밀가루, 양상추, 올리고당, 간장"
274,삼겹살쌈밥,297,600,760,101,28.1,34.1,12.1,20.1,NULL,1400,1000,"돼지고기, 쌈장, 상추, 마늘, 쌀"
275,제육쌈밥,298,600,740,101,27.1,39.1,12.9,19.1,NULL,1504,901,"돼지고기, 고추장, 양파, 마늘, 상추, 쌀"
276,두루치기쌈밥,299,600,740,101,27.1,39.1,12.9,19.1,NULL,1504,901,"돼지고기, 고추장, 김치, 마늘, 상추, 쌀"
277,제육덮밥,300,500,779,115.13,29.85,21.41,6.397,8.788,71,544,725,"돼지고기, 고추장, 양파, 마늘, 김, 달걀, 쌀"
278,두루치기덮밥,301,500,779,115.13,29.85,20.42,5.984,9.31,80,510,710,"돼지고기, 고추장, 김치, 마늘, 김, 달걀, 쌀"
279,물냉면,302,400,383,64.58,16.5,5.74,1.962,2.293,48,1760,244,"밀가루,  오이, 쌈무, 참기름, 달걀"
280,비빔냉면,303,400,463,75.92,17.37,9.34,2.117,3.419,189,1583,312,"밀가루, 오이, 쌈무, 참기름, 달걀, 고추장"
281,빨떡,304,200,280,60.42,6.97,2.91,0.544,0.768,7,249,571,"떡, 대파, 어묵, 고추장, 고춧가루"
282,참치주먹밥,305,100,202,32,4,6,0.78,NULL,NULL,312,NULL,"쌀, 참치, 마요네즈"
283,라볶이,306,300,417,67.71,10.32,13.83,2.85,4.917,11,670,678,"라면사리, 떡, 대파, 어묵, 고추장, 고춧가루"
284,스크램블스팸김치볶음밥,307,300,446,75.09,8.75,12.37,1.868,4.729,NULL,844,520,"달걀, 햄, 김치, 마요네즈, 고춧가루, 쌀"
285,제육한상,308,300,572,31.12,39.12,33.08,9.991,13.746,128,832,1055,"돼지고기, 고추장, 양파, 마늘, 상추, 쌀"
286,햄치즈순두부,309,300,452,17,23,32,12,13,NULL,872,501,"햄, 치즈, 대파, 순두부, 마늘, 고춧가루, 참기름, 쌀"
287,제육한상+햄치즈순두부,310,600,1024,48.12,62.12,65.08,21.991,26.746,128,1704,1556,"돼지고기, 고추장, 양파, 마늘, 상추, 쌀, 햄, 치즈, 대파, 순두부, 고춧가루, 참기름"
288,제육한상+햄지치즈순두부+주먹밥,311,700,1184,83.12,67.12,70.08,22.881,26.746,128,1972,1556,"돼지고기, 고추장, 양파, 마늘, 상추, 쌀, 햄, 치즈, 대파, 순두부, 고춧가루, 참기름, 김"
289,제육2인정식,312,600,1014,62.3,80,67,21,28,250,1780,2003,"돼지고기, 고추장, 양파, 마늘, 상추, 쌀"
290,주먹밥,313,100,160,35,5,5,0.89,NULL,NULL,268,NULL,"쌀, 김"
291,차돌짬뽕,314,500,881,130.47,36.61,22.56,7.43,10.014,70,1462,861,"소고기, 오징어, 양배추, 당근, 마늘, 간장, 새우, 밀가루, 양파, 고춧가루"
292,잡탕밥,315,400,518,61.45,28.39,18.65,2.708,6.204,46,1494,843,"버섯, 오징어, 새우, 돼지고기, 양파, 당근, 시금치, 대파, 마늘, 굴소스, 간장, 참기름"
293,자장면,316,450,785,129.41,26.81,19.98,5.621,8.517,22,600,803,"돼지고기, 양파, 양배추, 호박, 당근, 콩, 밀가루, 자장가루"
294,삼선짜장,317,120,500,80,11,15,8,NULL,10,1010,NULL,"새우, 오징어, 조개, 돼지고기, 양파, 대파, 청경채, 감자, 자장가루, 밀가루"
295,삼선짬뽕,318,350,487,74.19,28.08,7.89,1.102,3.115,235,985,612,"새우, 오징어, 조개, 돼지고기, 무, 대파, 양파, 청경채, 고추, 밀가루"
296,마파두부덮밥,320,300,360,17.16,23.16,20.66,5.489,8.504,58,1616,465,"두부, 돼지고기, 양파, 대파, 고춧가루, 된장, 고추장, 쌀"
297,삼선볶음밥,319,200,291,37.19,10.19,10.88,1.842,3.173,108,620,108,"쌀, 달걀, 새우, 오징어, 해삼, 부추, 양파, 피망"
298,게살볶음밥,321,230,385,73,10,6,1.2,NULL,50,310,NULL,"쌀, 게살, 달걀, 대파, 당근, 피방, 굴소스"
299,찹쌀탕수육,323,300,591,64.73,26.99,23.93,7.409,10.555,87,447,615,"돼지고기, 오이, 당근, 양파, 적채, 목이버섯, 올리고당, 밀가루"
300,깐풍기,326,200,450,33.46,20.99,25.35,4.848,12.084,67,858,294,"닭고기, 피망, 피망, 대파, 마늘, 생강, 달걀, 녹말가루, 밀가루, 홍고추"
301,깐소새우,344,200,353,34.28,22.52,13.42,1.281,6.72,136,928,290,"새우, 양파, 달걀, 전분가루, 고추장, 마늘, 밀가루"
302,크림새우,341,200,314,23.78,25.95,12.1,3.839,4.489,175,743,280,"밀가루, 새우, 양상추, 호두, 마요네즈"
303,깐풍새우,329,200,420,19,37,14,6.1,7.2,NULL,930,401,"새우, 밀가루, 간장, 굴소스, 대파, 전분가루, 당근, 홍고추, 양파"
304,마라탕,331,100,275,12.5,17,20,4.3,5.23,40,1000,700,"마라후, 땅콩, 생강, 마늘, 양파, 버섯, 돼지고기"
305,마라샹궈,332,100,175,10,12.45,13.21,2.31,4.54,53,1021,441,"마라후, 땅콩, 생강, 마늘, 양파, 버섯, 돼지고기"
306,꿔보러우,333,200,384,33.18,22.49,17.39,2.854,8.735,62,878,528,"돼지고기, 전분가루, 달걀, 당근, 양파"
307,물만두,334,150,280,39,8,10,NULL,NULL,NULL,NULL,NULL,"밀가루, 돼지고기, 부추, 당근"
308,육회비빔밥,336,400,531,72.96,27.52,13.07,3.934,5.322,210,361,689,"양파, 시금치, 버섯, 당근, 상추, 쌀, 소고기"
309,수육곰탕,339,100,185,1.83,23.68,9,3.498,3.808,52,449,475,"사골, 마늘, 소고기, 파, 양파, 쌀"
310,삼겹살덮밥,335,100,276,32,14,12,561,4.2,5.31,612,123.21,"돼지고기, 고추장, 양파, 마늘, 김, 달걀, 쌀"
311,순두부국밥,337,500,580,85,34,13,3.5,4.2,NULL,2300,1764,"순두부, 양파, 대파, 마늘, 쌀, 돼지고기"
312,우동국밥,338,500,680,91,30,15,3.6,5.5,NULL,1640,880,"밀가루, 대파, 마늘, 쌀"
313,깐소새우,343,200,353,34.28,22.52,13.42,1.281,6.72,136,928,290,"새우, 양파, 달걀, 전분가루, 고추장, 마늘, 밀가루"
314,크림새우,340,200,314,23.78,25.95,12.1,3.839,4.489,175,743,280,"밀가루, 새우, 양상추, 호두, 마요네즈"
315,깐풍새우,328,200,420,19,37,14,6.1,7.2,NULL,930,401,"새우, 밀가루, 간장, 굴소스, 대파, 전분가루, 당근, 홍고추, 양파"
316,깐소새우,345,200,353,34.28,22.52,13.42,1.281,6.72,136,928,290,"새우, 양파, 달걀, 전분가루, 고추장, 마늘, 밀가루"
317,크림새우,342,200,314,23.78,25.95,12.1,3.839,4.489,175,743,280,"밀가루, 새우, 양상추, 호두, 마요네즈"
318,깐풍새우,330,200,420,19,37,14,6.1,7.2,NULL,930,401,"새우, 밀가루, 간장, 굴소스, 대파, 전분가루, 당근, 홍고추, 양파"
319,찹쌀탕수육,322,300,591,64.73,26.99,23.93,7.409,10.555,87,447,615,"돼지고기, 오이, 당근, 양파, 적채, 목이버섯, 올리고당, 밀가루"
320,깐풍기,325,200,450,33.46,20.99,25.35,4.848,12.084,67,858,294,"닭고기, 피망, 피망, 대파, 마늘, 생강, 달걀, 녹말가루, 밀가루, 홍고추"
321,찹쌀탕수육,324,300,591,64.73,26.99,23.93,7.409,10.555,87,447,615,"돼지고기, 오이, 당근, 양파, 적채, 목이버섯, 올리고당, 밀가루"
322,깐풍기,327,200,450,33.46,20.99,25.35,4.848,12.084,67,858,294,"닭고기, 피망, 피망, 대파, 마늘, 생강, 달걀, 녹말가루, 밀가루, 홍고추"
